Internal_Reference,Product_Name,Display_Name,Product_Template,Sales_Price,Cost,Category,Product_Type,Sales_UoM,Purchase_UoM,Active,Barcode,Sales_Description,Purchase_Description,Tracking,Quantity_On_Hand,Forecasted_Quantity,Weight,Volume
101070-00-01,Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),[101070-00-01] Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),[101070-00-01] Trimble Geospatial Accessory - Dual Battery Charger with Power Supply and Power Cord (North America),1.0,316.67,All,consu,Units,Units,True,False,False,False,serial,21.0,21.0,0.0,0.0
101071-00-01,Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),[101071-00-01] Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),[101071-00-01] Trimble Geospatial Accessory - Power Supply and Power Cord for Dual Battery Charger (North America),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
101750-00,"Transport Case, R750","[101750-00] Transport Case, R750","[101750-00] Transport Case, R750",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
104661-50,Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
104661-50,Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,[104661-50] Trimble Zephyr 3 Base GNSS Antenna with 10m antenna cable,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
105568,Kit-Measure up target,[105568] Kit-Measure up target,[105568] Kit-Measure up target,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
109000,Dual Slot Charger without Cables or Power Supply,[109000] Dual Slot Charger without Cables or Power Supply,[109000] Dual Slot Charger without Cables or Power Supply,1.0,392.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
109218-BLK-GEO,"Pouch, Trimble Catalyst (5 pack)","[109218-BLK-GEO] Pouch, Trimble Catalyst (5 pack)","[109218-BLK-GEO] Pouch, Trimble Catalyst (5 pack)",1.0,75.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
109695-00,Trimble Catalyst DA2 Receiver Packout,[109695-00] Trimble Catalyst DA2 Receiver Packout,[109695-00] Trimble Catalyst DA2 Receiver Packout,1.0,207.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
110238-00-1,Trimble EM120 2.4GHz Module,[110238-00-1] Trimble EM120 2.4GHz Module,[110238-00-1] Trimble EM120 2.4GHz Module,1.0,0.0,All,consu,Units,Units,True,False,False,False,none,0.0,0.0,0.0,0.0
110471-91,"PS,AC,12V,5A,100-240VAC,FOR_SETTOP","[110471-91] PS,AC,12V,5A,100-240VAC,FOR_SETTOP","[110471-91] PS,AC,12V,5A,100-240VAC,FOR_SETTOP",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
110471-91,"PS,AC,12V,5A,100-240VAC,FOR_SETTOP","[110471-91] PS,AC,12V,5A,100-240VAC,FOR_SETTOP","[110471-91] PS,AC,12V,5A,100-240VAC,FOR_SETTOP",1.0,0.0,All,consu,Units,Units,True,False,False,False,none,0.0,0.0,0.0,0.0
110471-95,"Connectivity bundle, Trimble SX Total Station to T4D (incl. Settop M1, Octohub v2, Cable kit)","[110471-95] Connectivity bundle, Trimble SX Total Station to T4D (incl. Settop M1, Octohub v2, Cable kit)","[110471-95] Connectivity bundle, Trimble SX Total Station to T4D (incl. Settop M1, Octohub v2, Cable kit)",1.0,4956.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
114111,"BPack,Li-Ion,INDUS,3S2P,11.4V,8000mAHr,123x147x18.4mm","[114111] BPack,Li-Ion,INDUS,3S2P,11.4V,8000mAHr,123x147x18.4mm","[114111] BPack,Li-Ion,INDUS,3S2P,11.4V,8000mAHr,123x147x18.4mm",1.0,191.0,All,consu,Units,Units,True,False,False,False,serial,4.0,4.0,0.0,0.0
115929-03,TDC150 cm,[115929-03] TDC150 cm,[115929-03] TDC150 cm,1.0,4297.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
117057-20-GEO,Trimble TDC600_2 Worldwide (Android10),[117057-20-GEO] Trimble TDC600_2 Worldwide (Android10),[117057-20-GEO] Trimble TDC600_2 Worldwide (Android10),5.0,920.0,All,consu,Units,Units,True,False,False,False,serial,5.0,5.0,0.0,0.0
117057-GEO-BKT,"Pole Bracket, Trimble TDC600 Worldwide","[117057-GEO-BKT] Pole Bracket, Trimble TDC600 Worldwide","[117057-GEO-BKT] Pole Bracket, Trimble TDC600 Worldwide",1.0,162.0,All,consu,Units,Units,True,False,False,False,serial,3.0,3.0,0.0,0.0
118831,Trimble TDC600 Accessory - Screen Protector (3 pack),[118831] Trimble TDC600 Accessory - Screen Protector (3 pack),[118831] Trimble TDC600 Accessory - Screen Protector (3 pack),1.0,31.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
118835-00,"TDC600 Dual Battery Charger,BA7800 3.8V 8000mAh,Gang Charger with AC Adapter-batteries not included","[118835-00] TDC600 Dual Battery Charger,BA7800 3.8V 8000mAh,Gang Charger with AC Adapter-batteries not included","[118835-00] TDC600 Dual Battery Charger,BA7800 3.8V 8000mAh,Gang Charger with AC Adapter-batteries not included",1.0,203.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
119128-GEO,"GEO FS,PLUG,2P,TNC_RP_PLUG-TNC_JACK,ADAPTER","[119128-GEO] GEO FS,PLUG,2P,TNC_RP_PLUG-TNC_JACK,ADAPTER","[119128-GEO] GEO FS,PLUG,2P,TNC_RP_PLUG-TNC_JACK,ADAPTER",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
121320-01-1,Trimble Accessory - Rechargeable Battery 2-pack,[121320-01-1] Trimble Accessory - Rechargeable Battery 2-pack,[121320-01-1] Trimble Accessory - Rechargeable Battery 2-pack,1.0,175.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
121320-01-1,Trimble Accessory - Rechargeable Battery 2-pack,[121320-01-1] Trimble Accessory - Rechargeable Battery 2-pack,[121320-01-1] Trimble Accessory - Rechargeable Battery 2-pack,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
121344-01-1,TSC7 Shoulder Sling,[121344-01-1] TSC7 Shoulder Sling,[121344-01-1] TSC7 Shoulder Sling,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
121344-01-1,Trimble TSC7 Accessory - Pole Mount,[121344-01-1] Trimble TSC7 Accessory - Pole Mount,[121344-01-1] Trimble TSC7 Accessory - Pole Mount,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
121349-01-1,Trimble TSC7 Accessory - Pole Mount,[121349-01-1] Trimble TSC7 Accessory - Pole Mount,[121349-01-1] Trimble TSC7 Accessory - Pole Mount,1.0,132.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
121349-03,Trimble TSC7 Accessory - Pole Mount,[121349-03] Trimble TSC7 Accessory - Pole Mount,[121349-03] Trimble TSC7 Accessory - Pole Mount,1.0,144.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
121354-01-1,Trimble Accessory - Carry Case Shoulder Bag,[121354-01-1] Trimble Accessory - Carry Case Shoulder Bag,[121354-01-1] Trimble Accessory - Carry Case Shoulder Bag,1.0,52.25,All,consu,Units,Units,True,False,False,False,serial,5.0,5.0,0.0,0.0
121358-01-1,"Trimble Accessory - External Battery Charger w/ Int. Cord, Battery 2-pack","[121358-01-1] Trimble Accessory - External Battery Charger w/ Int. Cord, Battery 2-pack","[121358-01-1] Trimble Accessory - External Battery Charger w/ Int. Cord, Battery 2-pack",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
12179,Tribrach - 3 Pin with Optical Plummet,[12179] Tribrach - 3 Pin with Optical Plummet,[12179] Tribrach - 3 Pin with Optical Plummet,1.0,343.75,All,consu,Units,Units,True,False,False,False,serial,5.0,5.0,0.0,0.0
12180,"Adapter - Tribrach to 5/8, with Removable Center","[12180] Adapter - Tribrach to 5/8, with Removable Center","[12180] Adapter - Tribrach to 5/8, with Removable Center",1.0,85.25,All,consu,Units,Units,True,False,False,False,serial,5.0,5.0,0.0,0.0
121952-01-GEO,TSC5 Pole Mount Bracket,[121952-01-GEO] TSC5 Pole Mount Bracket,[121952-01-GEO] TSC5 Pole Mount Bracket,1.0,32.5,All,consu,Units,Units,True,False,False,False,serial,4.0,4.0,0.0,0.0
121990-BLK-GEO,T100 Hand Strap,[121990-BLK-GEO] T100 Hand Strap,[121990-BLK-GEO] T100 Hand Strap,1.0,62.25,All,consu,Units,Units,True,False,False,False,serial,4.0,4.0,0.0,0.0
122906-BLK-GEO,T100 Pole Bracket Long Length,[122906-BLK-GEO] T100 Pole Bracket Long Length,[122906-BLK-GEO] T100 Pole Bracket Long Length,1.0,317.5,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
128518-00-BLK-GEO,ANKER PowerCore 5000 Power Bank (5000mAH) (x5),[128518-00-BLK-GEO] ANKER PowerCore 5000 Power Bank (5000mAH) (x5),[128518-00-BLK-GEO] ANKER PowerCore 5000 Power Bank (5000mAH) (x5),1.0,93.5,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
129681-75,TDL450B Hard Shell Case,[129681-75] TDL450B Hard Shell Case,[129681-75] TDL450B Hard Shell Case,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
131893-30-50,430-450MHz 5db gain antenna kit,[131893-30-50] 430-450MHz 5db gain antenna kit,[131893-30-50] 430-450MHz 5db gain antenna kit,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
131933,Trimble T10x (2024) Hand Strap,[131933] Trimble T10x (2024) Hand Strap,[131933] Trimble T10x (2024) Hand Strap,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
150416-080,"Cable - Extension, 8M, 4 Pin Recp,4 Soc Plug","[150416-080] Cable - Extension, 8M, 4 Pin Recp,4 Soc Plug","[150416-080] Cable - Extension, 8M, 4 Pin Recp,4 Soc Plug",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
176767,"BPack,Li-Ion,INDUS,2S2P,7.4V,3700mAHr,78.4x54.3x25mm","[176767] BPack,Li-Ion,INDUS,2S2P,7.4V,3700mAHr,78.4x54.3x25mm","[176767] BPack,Li-Ion,INDUS,2S2P,7.4V,3700mAHr,78.4x54.3x25mm",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
192670-25,"BPack,Li-Ion,INDUS,2S1P,7.2V,2200mAHr,71x39x20.3mm","[192670-25] BPack,Li-Ion,INDUS,2S1P,7.2V,2200mAHr,71x39x20.3mm","[192670-25] BPack,Li-Ion,INDUS,2S1P,7.2V,2200mAHr,71x39x20.3mm",1.0,43.75,All,consu,Units,Units,True,False,False,False,serial,44.0,44.0,0.0,0.0
194170-00,"Kit - Calibration, GS520 Bracket, Cable","[194170-00] Kit - Calibration, GS520 Bracket, Cable","[194170-00] Kit - Calibration, GS520 Bracket, Cable",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
24253-44-GEO,"Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)","[24253-44-GEO] Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)","[24253-44-GEO] Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
24253-44-GEO,"Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)","[24253-44-GEO] Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)","[24253-44-GEO] Radio - Radio Antenna, 0db - 5db Whip, 430-450 MHz (Geospatial)",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
24253-46-SUR,"Radio - Radio Antenna, 0db - 5db Whip, 450-470 MHz (Survey)","[24253-46-SUR] Radio - Radio Antenna, 0db - 5db Whip, 450-470 MHz (Survey)","[24253-46-SUR] Radio - Radio Antenna, 0db - 5db Whip, 450-470 MHz (Survey)",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
43169-00,Rod - 2.0m Carbon Fiber Range Pole with Bipod,[43169-00] Rod - 2.0m Carbon Fiber Range Pole with Bipod,[43169-00] Rod - 2.0m Carbon Fiber Range Pole with Bipod,1.0,336.19,All,consu,Units,Units,True,False,False,False,serial,16.0,16.0,0.0,0.0
43169-10,Rod - 2.0m Carbon Fiber Range Pole without Bipod,[43169-10] Rod - 2.0m Carbon Fiber Range Pole without Bipod,[43169-10] Rod - 2.0m Carbon Fiber Range Pole without Bipod,1.0,252.0,All,consu,Units,Units,True,False,False,False,serial,4.0,4.0,0.0,0.0
43169-30,Rod - 2.5m Carbon Fiber Telescopic Range Pole without Bipod,[43169-30] Rod - 2.5m Carbon Fiber Telescopic Range Pole without Bipod,[43169-30] Rod - 2.5m Carbon Fiber Telescopic Range Pole without Bipod,1.0,203.33,All,consu,Units,Units,True,False,False,False,serial,6.0,6.0,0.0,0.0
44085-60-SUR,"UHF Radio, TNC, 410-470 MHz, 5"", Whip (Survey) - Qty 5","[44085-60-SUR] UHF Radio, TNC, 410-470 MHz, 5"", Whip (Survey) - Qty 5","[44085-60-SUR] UHF Radio, TNC, 410-470 MHz, 5"", Whip (Survey) - Qty 5",1.0,245.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
46125-20-SUR,"Cable - Power, 3m/10ft, LM0 to Battery Clips","[46125-20-SUR] Cable - Power, 3m/10ft, LM0 to Battery Clips","[46125-20-SUR] Cable - Power, 3m/10ft, LM0 to Battery Clips",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
46125-20-SUR,"Cable - Power, 3m/10ft, LM0 to Battery Clips","[46125-20-SUR] Cable - Power, 3m/10ft, LM0 to Battery Clips","[46125-20-SUR] Cable - Power, 3m/10ft, LM0 to Battery Clips",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
47021-91,Kit - HEX Calibration,[47021-91] Kit - HEX Calibration,[47021-91] Kit - HEX Calibration,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
51003007,Rod - 2.6m Aluminium Telescopic Rod,[51003007] Rod - 2.6m Aluminium Telescopic Rod,[51003007] Rod - 2.6m Aluminium Telescopic Rod,1.0,0.0,All,consu,Units,Units,True,False,False,False,none,0.0,0.0,0.0,0.0
51870-30-50,"Antenna Whip - Unity Gain, 430-450MHZ","[51870-30-50] Antenna Whip - Unity Gain, 430-450MHZ","[51870-30-50] Antenna Whip - Unity Gain, 430-450MHZ",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
51870-50-70,"Antenna Whip - Unity Gain, 450-470MHZ","[51870-50-70] Antenna Whip - Unity Gain, 450-470MHZ","[51870-50-70] Antenna Whip - Unity Gain, 450-470MHZ",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
52618,"Accessories - TAPE MEASURE, METRIC/TENTHS","[52618] Accessories - TAPE MEASURE, METRIC/TENTHS","[52618] Accessories - TAPE MEASURE, METRIC/TENTHS",1.0,23.33,All,consu,Units,Units,True,False,False,False,serial,3.0,3.0,0.0,0.0
571126275,"Accessory - Tripod Heavy Duty, with stability for Servo TS","[571126275] Accessory - Tripod Heavy Duty, with stability for Servo TS","[571126275] Accessory - Tripod Heavy Duty, with stability for Servo TS",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
571126286,Rod - Bipod for Range Pole (GDM/GTR/ATS),[571126286] Rod - Bipod for Range Pole (GDM/GTR/ATS),[571126286] Rod - Bipod for Range Pole (GDM/GTR/ATS),0.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
57168-SUR,"Adapter, DB26 to DB9, Ethernet and Power (Survey)","[57168-SUR] Adapter, DB26 to DB9, Ethernet and Power (Survey)","[57168-SUR] Adapter, DB26 to DB9, Ethernet and Power (Survey)",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
58002007,Accessory - Tribrach 3 Pin type with Optical Plummet (GDM/GTR/ATS),[58002007] Accessory - Tribrach 3 Pin type with Optical Plummet (GDM/GTR/ATS),[58002007] Accessory - Tribrach 3 Pin type with Optical Plummet (GDM/GTR/ATS),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
58020002,"PRISM 360, 1 INCH, P.C. 2MM","[58020002] PRISM 360, 1 INCH, P.C. 2MM","[58020002] PRISM 360, 1 INCH, P.C. 2MM",0.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
58020002,"Prism - 360 Prism incl height adapter to standard rod, prism const: 0.002m","[58020002] Prism - 360 Prism incl height adapter to standard rod, prism const: 0.002m","[58020002] Prism - 360 Prism incl height adapter to standard rod, prism const: 0.002m",1.0,738.25,All,consu,Units,Units,True,False,False,False,serial,16.0,16.0,0.0,0.0
58024021,Traverse Prism with AR Coating without Sighting Target,[58024021] Traverse Prism with AR Coating without Sighting Target,[58024021] Traverse Prism with AR Coating without Sighting Target,1.0,186.5,All,consu,Units,Units,True,False,False,False,serial,4.0,4.0,0.0,0.0
58026020,Traverse Prism with AR Coating,[58026020] Traverse Prism with AR Coating,[58026020] Traverse Prism with AR Coating,1.0,350.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
58957-05,"Cable - GPS, 5m, TNC/TNC Rt. Angle","[58957-05] Cable - GPS, 5m, TNC/TNC Rt. Angle","[58957-05] Cable - GPS, 5m, TNC/TNC Rt. Angle",1.0,62.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
58957-05,"Cable, GPS, 5m, TNC/TNC Rt. Angle","[58957-05] Cable, GPS, 5m, TNC/TNC Rt. Angle","[58957-05] Cable, GPS, 5m, TNC/TNC Rt. Angle",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
58957-30,"Cable - GPS, 30m, TNC/TNC RIGHT ANGLE","[58957-30] Cable - GPS, 30m, TNC/TNC RIGHT ANGLE","[58957-30] Cable - GPS, 30m, TNC/TNC RIGHT ANGLE",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
59044-10-SUR,"Cable - Data/Power, 1.5m, DB9(F) to 0S/7P/M to SAE (Survey)","[59044-10-SUR] Cable - Data/Power, 1.5m, DB9(F) to 0S/7P/M to SAE (Survey)","[59044-10-SUR] Cable - Data/Power, 1.5m, DB9(F) to 0S/7P/M to SAE (Survey)",1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
59369-00,Holder - 3 pack battery holder,[59369-00] Holder - 3 pack battery holder,[59369-00] Holder - 3 pack battery holder,1.0,126.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63603-00,Add Scanning Module to Existing Complete/Advanced Hardware Key(Reqs HASP key ID),[63603-00] Add Scanning Module to Existing Complete/Advanced Hardware Key(Reqs HASP key ID),[63603-00] Add Scanning Module to Existing Complete/Advanced Hardware Key(Reqs HASP key ID),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
63603-00,"Add Scanning to Hardware Key (Reqs key ID, min. Survey Advanced Edition)","[63603-00] Add Scanning to Hardware Key (Reqs key ID, min. Survey Advanced Edition)","[63603-00] Add Scanning to Hardware Key (Reqs key ID, min. Survey Advanced Edition)",1.0,1377.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63609-00,Trimble Business Center Survey Intermediate - Dongle License,[63609-00] Trimble Business Center Survey Intermediate - Dongle License,[63609-00] Trimble Business Center Survey Intermediate - Dongle License,1.0,1140.75,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63609-00,Trimble Business Center Survey Intermediate - Dongle License,[63609-00] Trimble Business Center Survey Intermediate - Dongle License,[63609-00] Trimble Business Center Survey Intermediate - Dongle License,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
63610-00,Trimble Business Center Advanced - Dongle License,[63610-00] Trimble Business Center Advanced - Dongle License,[63610-00] Trimble Business Center Advanced - Dongle License,1.0,2302.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63610-00,Trimble Business Center Survey Advanced - Dongle License,[63610-00] Trimble Business Center Survey Advanced - Dongle License,[63610-00] Trimble Business Center Survey Advanced - Dongle License,1.0,1835.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63615-00,"Add Aerial Photogrammetry to Software Key Lic (Reqs Key ID, min. Surface Modeling, match # of seats)","[63615-00] Add Aerial Photogrammetry to Software Key Lic (Reqs Key ID, min. Surface Modeling, match # of seats)","[63615-00] Add Aerial Photogrammetry to Software Key Lic (Reqs Key ID, min. Surface Modeling, match # of seats)",1.0,3022.25,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63616-00,"Add Aerial Photogrammetry to Hardware Key (Reqs Key ID, min. Surface Modeling)","[63616-00] Add Aerial Photogrammetry to Hardware Key (Reqs Key ID, min. Surface Modeling)","[63616-00] Add Aerial Photogrammetry to Hardware Key (Reqs Key ID, min. Surface Modeling)",1.0,2747.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
63645-00,Trimble Business Center Surface Modeling - Dongle License,[63645-00] Trimble Business Center Surface Modeling - Dongle License,[63645-00] Trimble Business Center Surface Modeling - Dongle License,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
63645-00,Trimble Business Center Surface Modeling - Dongle License,[63645-00] Trimble Business Center Surface Modeling - Dongle License,[63645-00] Trimble Business Center Surface Modeling - Dongle License,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
64451-00,NMO-to-TNC Adapter Cable (9 ft),[64451-00] NMO-to-TNC Adapter Cable (9 ft),[64451-00] NMO-to-TNC Adapter Cable (9 ft),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
66656-10,Cable - TDL 450 / HPB450 (0S/1S Lemo; SAE Power),[66656-10] Cable - TDL 450 / HPB450 (0S/1S Lemo; SAE Power),[66656-10] Cable - TDL 450 / HPB450 (0S/1S Lemo; SAE Power),1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
7073139510000,"Staff - Invar rod LD 13/b, 3m, code-graduation, with wide staff base","[7073139510000] Staff - Invar rod LD 13/b, 3m, code-graduation, with wide staff base","[7073139510000] Staff - Invar rod LD 13/b, 3m, code-graduation, with wide staff base",1.0,980.0,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
7078030000000,Footplate with steel punch,[7078030000000] Footplate with steel punch,[7078030000000] Footplate with steel punch,1.0,56.0,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
73840019,INSTR./ADV. HOLDER TO PC CON. CABLE,[73840019] INSTR./ADV. HOLDER TO PC CON. CABLE,[73840019] INSTR./ADV. HOLDER TO PC CON. CABLE,1.0,52.5,All,consu,Units,Units,True,False,False,False,serial,2.0,2.0,0.0,0.0
74450-11,TDL 450H Office Power Kit,[74450-11] TDL 450H Office Power Kit,[74450-11] TDL 450H Office Power Kit,1.0,123.75,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
74450-14,TDL 450H Field Battery/Charger Kit,[74450-14] TDL 450H Field Battery/Charger Kit,[74450-14] TDL 450H Field Battery/Charger Kit,1.0,0.0,All,consu,Units,Units,True,False,False,False,serial,0.0,0.0,0.0,0.0
74451-94,TDL 450H - Radio System Kit; 430-450 MHz,[74451-94] TDL 450H - Radio System Kit; 430-450 MHz,[74451-94] TDL 450H - Radio System Kit; 430-450 MHz,1.0,2446.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
78607007,Accessory - Tribrach without optical plumb,[78607007] Accessory - Tribrach without optical plumb,[78607007] Accessory - Tribrach without optical plumb,1.0,241.5,All,consu,Units,Units,True,False,False,False,serial,1.0,1.0,0.0,0.0
